user_pseudo_id,first_date,segment_72h,search_72h,view_item_72h,scroll_72h,add_to_cart_72h,begin_checkout_72h,purchase_72h,sessions_72h,view_item_events_72h,retained_post72h_d30
52888360.4728648643,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
53043651.1647559947,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
54048784.3893018343,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
54748534.2432477824,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
54809781.2225515763,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
54916130.4543632344,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
55409919.9378221274,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
56817176.6150191474,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
57239780.0293719835,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
57463353.7514970314,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
57630004.5569555198,2020-12-27,product_viewer_no_scroll_72h,0,1,0,0,0,0,1,1,0
58119507.7630103942,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
58570279.7923071700,2020-12-27,product_viewer_no_scroll_72h,0,1,0,0,0,0,1,1,0
58747993.6312375760,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
60147064.2249989835,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
61635923.5688727019,2020-12-27,low_engagement_72h,0,0,1,0,0,0,2,0,0
62191836.7824332531,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
64077640.4189911070,2020-12-27,low_engagement_72h,0,0,1,0,0,0,2,0,0
64990080.7383398855,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
65548225.5280856554,2020-12-27,low_engagement_72h,0,0,0,0,0,0,2,0,0
66425791.7326222348,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
68439698.2735286728,2020-12-27,product_viewer_scroll_72h,0,1,1,1,0,0,2,3,0
68538742.0914865730,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
69103819.6388239639,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
69316676.0755688919,2020-12-27,product_viewer_scroll_72h,1,1,1,0,0,0,1,1,0
69485421.6489263708,2020-12-27,product_viewer_no_scroll_72h,0,1,0,0,0,0,2,2,0
69648740.3619464538,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
71535466.8378747682,2020-12-27,product_viewer_scroll_72h,0,1,1,0,0,0,2,1,0
71566752.1051314572,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
71760589.3334059139,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,1
72333931.6259961501,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
78836745.8230224627,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
79312134.0778335292,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
80752452.6399080263,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
80967178.8067536713,2020-12-27,low_engagement_72h,0,0,1,0,0,0,3,0,0
81414700.9133700453,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
83295301.2767677809,2020-12-27,low_engagement_72h,0,0,1,0,0,0,1,0,0
83567973.3009622609,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
84234260.6245539962,2020-12-27,low_engagement_72h,0,0,0,0,0,0,1,0,0
